inhabitants,distribution_fm,population_density,Age_0-15,age_15-25,age_25-45,age_45-65,age_older,indigenous,western_allochtoon,none_western,household,household_single,household_wo_kids,household_with_kids,avg_person_per_household,perc_with_job,high_income,medium_income,low_income,income_avg,social_benefit
5.185,"2.510 / 
2.675",8.696 per km²,18 %,13 %,29 %,23 %,18 %,43 %,13 %,44 %,2.450,48 %,21 %,31 %,"2,0",63 %,11 %,45 %,44 %,€ 16.400,"9,6 %"
2.120,"1.065 / 
1.055",91 per km²,19 %,9 %,21 %,36 %,16 %,88 %,9 %,3 %,895,29 %,32 %,39 %,"2,4",76 %,36 %,34 %,30 %,€ 24.300,"0,5 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
7.340,"3.720 / 
3.625",10.108 per km²,23 %,17 %,34 %,18 %,8 %,17 %,8 %,75 %,3.275,48 %,16 %,36 %,"2,2",53 %,6 %,44 %,50 %,€ 14.300,"18,3 %"
10.255,"5.175 / 
5.075",14.281 per km²,13 %,13 %,40 %,27 %,7 %,47 %,15 %,38 %,6.120,62 %,18 %,20 %,"1,7",68 %,14 %,42 %,44 %,€ 17.200,"11,9 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
5.185,"2.510 / 
2.675",8.696 per km²,18 %,13 %,29 %,23 %,18 %,43 %,13 %,44 %,2.450,48 %,21 %,31 %,"2,0",63 %,11 %,45 %,44 %,€ 16.400,"9,6 %"
,,,,,,,,,,,,,,,,,,,,,
13.770,"6.985 / 
6.785",21.803 per km²,10 %,15 %,48 %,22 %,6 %,61 %,21 %,18 %,9.360,69 %,19 %,13 %,"1,5",73 %,22 %,39 %,39 %,€ 19.800,"6,1 %"
11.945,"5.865 / 
6.080",22.538 per km²,14 %,14 %,45 %,20 %,7 %,54 %,16 %,30 %,6.875,56 %,22 %,22 %,"1,7",71 %,16 %,43 %,41 %,€ 17.500,9 %
12.510,"5.995 / 
6.515",7.553 per km²,21 %,12 %,26 %,25 %,15 %,43 %,9 %,48 %,5.675,43 %,21 %,37 %,"2,2",63 %,11 %,46 %,43 %,€ 16.400,"10,7 %"
2.320,"1.120 / 
1.200",998 per km²,15 %,15 %,22 %,36 %,12 %,53 %,12 %,35 %,985,28 %,31 %,41 %,"2,4",73 %,23 %,43 %,34 %,€ 18.900,"3,9 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
2.320,"1.120 / 
1.200",998 per km²,15 %,15 %,22 %,36 %,12 %,53 %,12 %,35 %,985,28 %,31 %,41 %,"2,4",73 %,23 %,43 %,34 %,€ 18.900,"3,9 %"
2.120,"1.065 / 
1.055",91 per km²,19 %,9 %,21 %,36 %,16 %,88 %,9 %,3 %,895,29 %,32 %,39 %,"2,4",76 %,36 %,34 %,30 %,€ 24.300,"0,5 %"
12.615,"6.375 / 
6.235",12.311 per km²,13 %,13 %,34 %,32 %,8 %,57 %,18 %,25 %,7.550,60 %,18 %,21 %,"1,7",68 %,21 %,41 %,38 %,€ 19.300,"9,1 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
,,,,,,,,,,,,,,,,,,,,,
1.905,"925 / 
980",11.448 per km²,13 %,12 %,24 %,32 %,19 %,77 %,9 %,14 %,945,39 %,26 %,34 %,"2,0",64 %,7 %,46 %,47 %,€ 15.200,"7,6 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
5.185,"2.510 / 
2.675",8.696 per km²,18 %,13 %,29 %,23 %,18 %,43 %,13 %,44 %,2.450,48 %,21 %,31 %,"2,0",63 %,11 %,45 %,44 %,€ 16.400,"9,6 %"
12.615,"6.375 / 
6.235",12.311 per km²,13 %,13 %,34 %,32 %,8 %,57 %,18 %,25 %,7.550,60 %,18 %,21 %,"1,7",68 %,21 %,41 %,38 %,€ 19.300,"9,1 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
11.310,"5.465 / 
5.840",8.905 per km²,16 %,11 %,31 %,28 %,15 %,67 %,25 %,8 %,6.260,56 %,22 %,22 %,"1,8",72 %,48 %,25 %,27 %,€ 33.900,"1,4 %"
1.685,"845 / 
845",4.458 per km²,23 %,10 %,25 %,32 %,10 %,81 %,15 %,4 %,655,24 %,28 %,47 %,"2,6",77 %,41 %,33 %,26 %,€ 24.300,"0,5 %"
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
12.615,"6.375 / 
6.235",12.311 per km²,13 %,13 %,34 %,32 %,8 %,57 %,18 %,25 %,7.550,60 %,18 %,21 %,"1,7",68 %,21 %,41 %,38 %,€ 19.300,"9,1 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
4.470,"2.610 / 
1.860",7.268 per km²,6 %,17 %,51 %,21 %,5 %,53 %,27 %,20 %,3.350,75 %,18 %,6 %,"1,3",71 %,28 %,36 %,36 %,€ 21.800,"2,3 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
6.380,"3.085 / 
3.295",20.520 per km²,11 %,13 %,48 %,20 %,8 %,58 %,19 %,23 %,3.875,58 %,24 %,18 %,"1,6",76 %,20 %,41 %,39 %,€ 18.800,"6,2 %"
7.115,"3.410 / 
3.705",21.356 per km²,13 %,11 %,44 %,25 %,7 %,66 %,22 %,12 %,4.460,64 %,19 %,18 %,"1,6",76 %,31 %,37 %,32 %,€ 22.300,"4,5 %"
16.495,"7.920 / 
8.575",7.029 per km²,19 %,13 %,28 %,22 %,18 %,39 %,12 %,49 %,7.815,46 %,23 %,31 %,"2,1",65 %,16 %,45 %,39 %,€ 17.700,9 %
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
11.920,"6.000 / 
5.920",25.329 per km²,13 %,10 %,45 %,25 %,7 %,55 %,18 %,27 %,7.450,64 %,17 %,18 %,"1,6",74 %,17 %,44 %,39 %,€ 18.000,"9,9 %"
11.310,"5.465 / 
5.840",8.905 per km²,16 %,11 %,31 %,28 %,15 %,67 %,25 %,8 %,6.260,56 %,22 %,22 %,"1,8",72 %,48 %,25 %,27 %,€ 33.900,"1,4 %"
8.165,"3.820 / 
4.345",9.239 per km²,18 %,11 %,29 %,27 %,16 %,65 %,27 %,8 %,4.105,47 %,25 %,28 %,"2,0",71 %,55 %,23 %,22 %,€ 38.800,"0,5 %"
8.300,"4.195 / 
4.100",7.095 per km²,18 %,13 %,35 %,25 %,9 %,40 %,11 %,49 %,4.375,54 %,17 %,29 %,"1,9",61 %,8 %,44 %,48 %,€ 15.300,"15,7 %"
13.770,"6.985 / 
6.785",21.803 per km²,10 %,15 %,48 %,22 %,6 %,61 %,21 %,18 %,9.360,69 %,19 %,13 %,"1,5",73 %,22 %,39 %,39 %,€ 19.800,"6,1 %"
3.660,"1.755 / 
1.905",4.518 per km²,30 %,10 %,46 %,11 %,3 %,46 %,11 %,43 %,1.565,39 %,16 %,45 %,"2,3",78 %,%,%,%,Prijs op aanvraag,"7,1 %"
10.255,"5.175 / 
5.075",14.281 per km²,13 %,13 %,40 %,27 %,7 %,47 %,15 %,38 %,6.120,62 %,18 %,20 %,"1,7",68 %,14 %,42 %,44 %,€ 17.200,"11,9 %"
3.425,"1.585 / 
1.840",7.986 per km²,12 %,9 %,22 %,32 %,24 %,80 %,10 %,10 %,1.840,45 %,29 %,26 %,"1,9",67 %,10 %,46 %,44 %,€ 15.800,"5,7 %"
12.510,"5.995 / 
6.515",7.553 per km²,21 %,12 %,26 %,25 %,15 %,43 %,9 %,48 %,5.675,43 %,21 %,37 %,"2,2",63 %,11 %,46 %,43 %,€ 16.400,"10,7 %"
9.185,"4.730 / 
4.450",9.627 per km²,20 %,15 %,34 %,21 %,11 %,27 %,10 %,63 %,4.540,51 %,17 %,32 %,"2,0",60 %,10 %,45 %,45 %,€ 16.200,"13,6 %"
17.650,"8.860 / 
8.790",17.336 per km²,17 %,14 %,43 %,19 %,7 %,38 %,11 %,51 %,9.585,55 %,20 %,25 %,"1,8",67 %,11 %,47 %,42 %,€ 16.200,"12,9 %"
7.235,"3.520 / 
3.720",23.819 per km²,11 %,11 %,50 %,22 %,6 %,65 %,22 %,13 %,4.675,64 %,21 %,16 %,"1,5",76 %,26 %,39 %,35 %,€ 20.300,5 %
3.425,"1.585 / 
1.840",7.986 per km²,12 %,9 %,22 %,32 %,24 %,80 %,10 %,10 %,1.840,45 %,29 %,26 %,"1,9",67 %,10 %,46 %,44 %,€ 15.800,"5,7 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
8.635,"3.975 / 
4.660",9.002 per km²,11 %,11 %,42 %,24 %,13 %,64 %,17 %,19 %,5.545,63 %,21 %,17 %,"1,6",73 %,19 %,42 %,39 %,€ 18.600,"7,6 %"
13.770,"6.985 / 
6.785",21.803 per km²,10 %,15 %,48 %,22 %,6 %,61 %,21 %,18 %,9.360,69 %,19 %,13 %,"1,5",73 %,22 %,39 %,39 %,€ 19.800,"6,1 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
6.975,"3.565 / 
3.410",12.587 per km²,9 %,12 %,43 %,26 %,9 %,64 %,25 %,11 %,4.620,67 %,21 %,13 %,"1,5",73 %,36 %,33 %,31 %,€ 26.300,"2,9 %"
15.105,"7.180 / 
7.925",9.515 per km²,14 %,13 %,27 %,22 %,23 %,46 %,11 %,43 %,8.175,52 %,25 %,23 %,"1,8",65 %,14 %,43 %,43 %,€ 16.900,"7,7 %"
11.920,"6.000 / 
5.920",25.329 per km²,13 %,10 %,45 %,25 %,7 %,55 %,18 %,27 %,7.450,64 %,17 %,18 %,"1,6",74 %,17 %,44 %,39 %,€ 18.000,"9,9 %"
13.370,"6.440 / 
6.930",12.505 per km²,21 %,14 %,36 %,17 %,13 %,27 %,10 %,63 %,6.230,45 %,22 %,33 %,"2,1",63 %,9 %,45 %,46 %,€ 15.700,"12,3 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
9.690,"4.815 / 
4.875",7.143 per km²,13 %,11 %,40 %,26 %,9 %,51 %,15 %,34 %,5.600,60 %,18 %,22 %,"1,7",67 %,10 %,44 %,46 %,€ 15.900,"14,4 %"
9.185,"4.730 / 
4.450",9.627 per km²,20 %,15 %,34 %,21 %,11 %,27 %,10 %,63 %,4.540,51 %,17 %,32 %,"2,0",60 %,10 %,45 %,45 %,€ 16.200,"13,6 %"
3.915,"2.250 / 
1.665",11.176 per km²,6 %,16 %,46 %,26 %,6 %,58 %,27 %,15 %,2.805,72 %,19 %,9 %,"1,4",72 %,22 %,37 %,41 %,€ 18.900,"3,9 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
5.770,"2.855 / 
2.915",15.935 per km²,14 %,14 %,50 %,16 %,7 %,49 %,15 %,36 %,3.400,58 %,23 %,19 %,"1,7",74 %,13 %,52 %,35 %,€ 17.400,"6,1 %"
2.320,"1.120 / 
1.200",998 per km²,15 %,15 %,22 %,36 %,12 %,53 %,12 %,35 %,985,28 %,31 %,41 %,"2,4",73 %,23 %,43 %,34 %,€ 18.900,"3,9 %"
4.635,"2.380 / 
2.255",12.520 per km²,12 %,13 %,45 %,24 %,6 %,62 %,18 %,20 %,2.855,62 %,21 %,17 %,"1,6",75 %,27 %,38 %,35 %,€ 20.900,"5,9 %"
13.510,"6.445 / 
7.065",4.798 per km²,18 %,14 %,33 %,25 %,10 %,72 %,16 %,12 %,6.910,48 %,22 %,30 %,"2,0",78 %,34 %,39 %,27 %,€ 23.200,"2,3 %"
13.185,"6.450 / 
6.735",3.150 per km²,18 %,13 %,26 %,33 %,10 %,62 %,14 %,24 %,5.670,32 %,25 %,42 %,"2,3",75 %,30 %,42 %,28 %,€ 22.000,"2,5 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
12.070,"6.045 / 
6.025",12.468 per km²,12 %,10 %,39 %,27 %,12 %,57 %,17 %,26 %,7.600,63 %,18 %,20 %,"1,6",63 %,22 %,40 %,38 %,€ 19.700,"8,7 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
11.700,"5.665 / 
6.035",22.837 per km²,9 %,12 %,46 %,22 %,10 %,60 %,18 %,22 %,7.670,67 %,19 %,14 %,"1,5",74 %,19 %,40 %,41 %,€ 18.500,"7,7 %"
7.260,"3.625 / 
3.640",10.031 per km²,9 %,15 %,34 %,26 %,15 %,64 %,23 %,13 %,4.490,68 %,19 %,13 %,"1,5",66 %,28 %,34 %,38 %,€ 22.600,"5,3 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
2.900,"1.385 / 
1.515",2.166 per km²,17 %,11 %,23 %,34 %,15 %,77 %,10 %,13 %,1.260,27 %,33 %,40 %,"2,3",75 %,21 %,37 %,42 %,€ 18.300,"2,7 %"
8.715,"4.235 / 
4.480",3.556 per km²,19 %,13 %,27 %,27 %,14 %,64 %,10 %,26 %,3.905,36 %,24 %,40 %,"2,2",73 %,20 %,44 %,36 %,€ 17.900,"5,5 %"
16.070,"8.045 / 
8.025",7.089 per km²,19 %,14 %,30 %,23 %,13 %,31 %,10 %,59 %,7.855,52 %,18 %,30 %,"2,0",59 %,11 %,44 %,45 %,€ 16.300,"13,3 %"
7.340,"3.720 / 
3.625",10.108 per km²,23 %,17 %,34 %,18 %,8 %,17 %,8 %,75 %,3.275,48 %,16 %,36 %,"2,2",53 %,6 %,44 %,50 %,€ 14.300,"18,3 %"
7.340,"3.720 / 
3.625",10.108 per km²,23 %,17 %,34 %,18 %,8 %,17 %,8 %,75 %,3.275,48 %,16 %,36 %,"2,2",53 %,6 %,44 %,50 %,€ 14.300,"18,3 %"
11.670,"5.790 / 
5.875",10.148 per km²,34 %,7 %,42 %,14 %,2 %,54 %,11 %,35 %,4.445,30 %,18 %,53 %,"2,6",81 %,37 %,40 %,23 %,€ 23.400,5 %
8.715,"4.235 / 
4.480",3.556 per km²,19 %,13 %,27 %,27 %,14 %,64 %,10 %,26 %,3.905,36 %,24 %,40 %,"2,2",73 %,20 %,44 %,36 %,€ 17.900,"5,5 %"
10.380,"5.020 / 
5.360",6.287 per km²,15 %,10 %,27 %,28 %,19 %,70 %,8 %,22 %,5.185,44 %,25 %,31 %,"2,0",69 %,8 %,45 %,47 %,€ 15.300,"6,7 %"
13.510,"6.445 / 
7.065",4.798 per km²,18 %,14 %,33 %,25 %,10 %,72 %,16 %,12 %,6.910,48 %,22 %,30 %,"2,0",78 %,34 %,39 %,27 %,€ 23.200,"2,3 %"
2.320,"1.120 / 
1.200",998 per km²,15 %,15 %,22 %,36 %,12 %,53 %,12 %,35 %,985,28 %,31 %,41 %,"2,4",73 %,23 %,43 %,34 %,€ 18.900,"3,9 %"
6.805,"3.615 / 
3.190",13.560 per km²,9 %,12 %,38 %,30 %,11 %,62 %,30 %,8 %,4.495,65 %,23 %,12 %,"1,5",69 %,44 %,26 %,30 %,€ 30.200,1 %
16.070,"8.045 / 
8.025",7.089 per km²,19 %,14 %,30 %,23 %,13 %,31 %,10 %,59 %,7.855,52 %,18 %,30 %,"2,0",59 %,11 %,44 %,45 %,€ 16.300,"13,3 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
7.105,"3.155 / 
3.950",3.866 per km²,9 %,9 %,24 %,24 %,34 %,62 %,22 %,16 %,4.025,59 %,25 %,16 %,"1,6",66 %,30 %,38 %,32 %,€ 23.600,"3,5 %"
14.995,"7.415 / 
7.580",7.345 per km²,21 %,14 %,28 %,29 %,9 %,52 %,12 %,36 %,6.030,30 %,24 %,47 %,"2,5",74 %,26 %,43 %,31 %,€ 20.800,"3,9 %"
8.630,"4.370 / 
4.260",15.913 per km²,12 %,10 %,38 %,32 %,9 %,63 %,22 %,15 %,5.415,62 %,20 %,18 %,"1,6",72 %,29 %,36 %,35 %,€ 21.500,"6,3 %"
13.510,"6.445 / 
7.065",4.798 per km²,18 %,14 %,33 %,25 %,10 %,72 %,16 %,12 %,6.910,48 %,22 %,30 %,"2,0",78 %,34 %,39 %,27 %,€ 23.200,"2,3 %"
2.010,"1.025 / 
985",720 per km²,4 %,42 %,35 %,15 %,4 %,63 %,18 %,19 %,1.480,80 %,15 %,6 %,"1,3",67 %,28 %,16 %,56 %,€ 24.700,"0,5 %"
13.370,"6.440 / 
6.930",12.505 per km²,21 %,14 %,36 %,17 %,13 %,27 %,10 %,63 %,6.230,45 %,22 %,33 %,"2,1",63 %,9 %,45 %,46 %,€ 15.700,"12,3 %"
13.705,"6.320 / 
7.385",10.175 per km²,13 %,11 %,40 %,23 %,13 %,71 %,19 %,10 %,8.065,57 %,22 %,21 %,"1,7",77 %,32 %,39 %,29 %,€ 22.600,3 %
7.115,"3.410 / 
3.705",21.356 per km²,13 %,11 %,44 %,25 %,7 %,66 %,22 %,12 %,4.460,64 %,19 %,18 %,"1,6",76 %,31 %,37 %,32 %,€ 22.300,"4,5 %"
10.835,"4.985 / 
5.850",12.665 per km²,12 %,10 %,49 %,20 %,9 %,69 %,18 %,13 %,6.750,60 %,23 %,17 %,"1,6",79 %,26 %,44 %,30 %,€ 21.200,"4,1 %"
6.775,"3.365 / 
3.405",27.167 per km²,11 %,12 %,41 %,27 %,10 %,52 %,17 %,31 %,4.455,68 %,16 %,16 %,"1,5",69 %,14 %,43 %,43 %,€ 17.100,"11,1 %"
